"abs.rnorm.15..0.18..0.1..","abs.rnorm.15..0.2..0.1..","abs.rnorm.15..0.3..0.1..","abs.rnorm.15..0.05..0.1.."
0.201946647466669,0.162872839345436,0.348631378791496,0.0528762393029207
0.230059817600369,0.191530651460667,0.178957801048426,0.0967895162305684
0.346934898030235,0.174132110467064,0.213008336576373,0.0666503443953783
0.0796457561916943,0.221785730845206,0.334882215445278,0.0810006487202065
0.219418220935049,0.236988996406894,0.300492527636158,0.0174028083531251
0.0302927394556396,0.290343283357147,0.430846649092764,0.0546725437272798
0.303925632328391,0.239681354224149,0.205255876535961,0.0592206279933739
0.183762219631797,0.18549153383037,0.298661568995321,0.133836256017761
0.0760383084823296,0.18979041288501,0.419938019541696,0.232226865831288
0.19536675074983,0.167196293436406,0.290715440166715,0.0559351100400846
0.075236172680404,0.193576577843465,0.331392734055538,0.138207400412616
0.250078127345231,0.0135206605507403,0.251344765344451,0.179142545292625
0.255781170409496,0.227742683054729,0.608797757949888,0.0506582803599668
0.102193738235402,0.14960899486301,0.303225172943278,0.186843304852624
0.0486788053756639,0.186980329730414,0.176380739013503,0.203059845603657
