"Platform","City","Bouncerate"
"android","San Jose",0.196951269345288
"android","San Jose",0.22529206771991
"android","San Jose",0.266511299628924
"android","San Jose",0.29161304719486
"android","San Jose",0.191951053473382
"android","Seattle",0.187071826691131
"android","Seattle",0.00588433078366782
"android","Seattle",0.150589739663294
"android","Seattle",0.243630005422327
"android","Seattle",0.493974465007115
"iphone","San Jose",0.130094985909787
"iphone","San Jose",0.013659393676973
"iphone","San Jose",0.0561395517629169
"iphone","San Jose",0.265008994666029
"iphone","San Jose",0.224349025624185
"iphone","Seattle",0.026366219977893
"iphone","Seattle",0.0915123607843674
"iphone","Seattle",0.38842138626823
"iphone","Seattle",0.084178684007356
"iphone","Seattle",0.0968782800461075
